id,name,active
229,anim_explorer_scan_short_04,1
230,anim_launch_wakeup_startdriving_01,1
231,anim_onboarding_reacttoface_happy_01_head_angle_20,1
232,anim_rtpickup_loop_01,1
233,anim_vc_reaction_nofaceheardyou_getout_01,1
234,anim_communication_cantdothat_02,1
235,anim_slowpoke_getout_04,1
236,anim_reacttoblock_dropfail_01,1
237,anim_movement_reacttoface_01_head_angle_-20,1
238,anim_eyepose_blink_low,1
239,anim_lookinplaceforfaces_keepalive_medium,1
240,anim_movement_alreadyhere_01_head_angle_20,1
241,anim_eyepose_blink_bd_l,1
242,anim_nowifi_getin_02,1
243,anim_keepaway_getin_focus_01,1
244,anim_keepaway_getout_loseinterest_01,1
245,anim_reacttocliff_stuckrightside_01,1
246,anim_keepaway_driving_loop_03,1
247,anim_slowpoke_getout_01,1
248,anim_inspectheldcube_loop_01,1
249,anim_eyepose_normal_l_push,1
250,anim_gotosleep_getout_02,1
251,anim_nowifi_trouble_icon_01,1
252,anim_explorer_idle_02_head_angle_30,1
253,anim_blackjack_swipe_01,1
254,anim_gotosleep_getin_01,1
255,anim_reacttocliff_stuckonedge_left_02,1
256,anim_slowpoke_getout_03,1
257,anim_reacttoface_unidentified_03_head_angle_20,1
258,anim_feedback_meanwords_02,1
259,anim_timer_emote_01,1
260,anim_chargerdocking_settle_01,1
261,anim_feedback_apology_01,1
262,anim_explorer_idle_03_head_angle_10,1
263,anim_rtshake_lv3rtonground_01,1
264,anim_triple_backup,1
265,anim_gazing_lookatsurface_reaction_01,1
266,anim_feedback_apology_02,1
267,anim_freeplay_reacttoface_sayname_03_head_angle_20,1
268,anim_gazing_lookatsurfaces_turn_right_01,1
269,anim_wakeword_getin_01,1
270,anim_lowlightcharger_search_loop_02,1
271,anim_dizzy_shake_stop_01,1
272,anim_dancebeat_getout_02,1
273,anim_explorer_scan_right_02,1
274,anim_greeting_goodnight_02,1
275,anim_meetvictor_lookface_loop_03,1
276,anim_feedback_badrobot_01,1
277,anim_keepalive_eyesonly_loop_03,1
278,anim_rtsound_offcharger_observe_120right_01,1
279,anim_keepalive_eyesonly_loop_02,1
280,anim_chargerdocking_requestwait_01,1
281,anim_message_getout_01,1
282,anim_eyepose_normal_l,1
283,anim_reacttocliff_turtleroll_02,1
284,anim_reacttocliff_pickup_02,1
285,anim_lookinplaceforfaces_keepalive_long_02_head_angle_40,1
286,anim_heldonpalm_pickup_nervous_01,1
287,anim_fistbump_idle_03,1
288,anim_slowpoke_getin_02,1
289,anim_fistbump_idle_01,1
290,anim_slowbump_getin_01,1
291,anim_fistbump_getin_01,1
292,anim_reacttocliff_stuckrightside_02,1
293,anim_fistbump_requestoncelong_01,1
294,anim_reacttocliff_turnright_60_01,1
295,anim_lookinplaceforfaces_keepalive_long_head_angle_20,1
296,anim_eyepose_frustrated,1
297,anim_loco_driving01_start_01,1
298,anim_blackjack_speech_01,1
299,anim_reacttocliff_reaction_front_left_01,1
300,anim_eyepose_suspicious,1
301,anim_reacttoblock_happydetermined_01,1
302,anim_reacttocliff_faceplantroll_01,1
303,anim_rtmotion_lookleft_01,1
304,anim_fastbump_getout_01,1
305,anim_referencing_squint_02_head_angle_40,1
306,anim_launch_drivingloop_01,1
307,anim_launch_drivingloop_02,1
308,anim_freeplay_reacttoface_identified_01,1
309,anim_freeplay_reacttoface_identified_02,1
310,anim_reacttoblock_reacttocharger_01,1
311,anim_gazing_lookatsurfaces_getin_left_01_head_angle_-20,1
312,anim_keepalive_eyesonly_loop_01,1
313,anim_eyecontact_lookloop_02_head_angle_-20,1
314,anim_referencing_squint_01_head_angle_20,1
315,anim_chargerdocking_searchforchargerturns_default_loop_02,1
316,anim_fistbump_fail_01,1
317,anim_reacttocliff_sidestuck_effort_02,1
318,anim_reacttocliff_sidestuck_effort_01,1
319,anim_handdetection_reaction_01,1
320,anim_generic_look_up_idle_02,1
321,anim_meetvictor_getin_01,1
322,anim_movement_reacttoface_01,1
323,anim_movement_reacttoface_01_head_angle_40,1
324,anim_gotosleep_off_01,1
325,anim_pounce_drive_03,1
326,anim_observe_onchager_getin_01,1
327,anim_reacttoface_unidentified_02_head_angle_20,1
328,anim_rtpickup_loop_03,1
329,anim_cubedocking_fail_01,1
330,anim_inspectheldcube_loop_03,1
331,anim_rtshake_drive_getin_01,1
332,anim_micstate_micoff_01,1
333,anim_keepaway_getreadyset_01,1
334,anim_reacttocliff_edge_03,1
335,anim_dancebeat_eyebeat_left_01,1
336,anim_chargerdocking_pickup_01,1
337,anim_hiking_driving_loop_04,1
338,anim_reacttocliff_edge_02,1
339,anim_greeting_goodbye_01,1
340,anim_rtp_blackjack_timeout_01,1
341,anim_rtpickup_loop_07,1
342,anim_sdk_speak_01,1
343,anim_greeting_goodbye_02,1
344,anim_nowifi_getin_01,1
345,anim_wakeword_getout_01,1
346,anim_rtpickup_loop_06,1
347,anim_chargerdocking_severergetout_02,1
348,anim_loco_driving01_end_01,1
349,anim_rtshake_drive_loop_01,1
350,anim_slowbump_getinforward_01,1
351,anim_rtsound_offcharger_asleep_behind_right_01,1
352,anim_explorer_huh_close_01,1
353,anim_reacttocliff_stuckleftside_01,1
354,anim_reacttocliff_stuckonedge_left_getin_01,1
355,anim_reacttoblock_react_short_01,1
356,anim_observing_around_subtle_02,1
357,anim_dancebeat_getin_02,1
358,anim_observing_nearby_area_01,1
